+---+----------------------------------------+----------+
|id |probability                             |prediction|
|42 |[0.44514902553568625,0.5548509744643138]|1.0       |
|43 |[0.41738270732016913,0.5826172926798309]|1.0       |
|44 |[0.4113029052647185,0.5886970947352814] |1.0       |
|45 |[0.555998481536772,0.444001518463228]   |0.0       |
|46 |[0.36535650952988596,0.634643490470114] |1.0       |
|47 |[0.5491604885752651,0.4508395114247349] |0.0       |
|48 |[0.4920283521519212,0.5079716478480788] |1.0       |
|49 |[0.7727493091410027,0.2272506908589973] |0.0       |
|50 |[0.3571511746514288,0.6428488253485711] |1.0       |
|51 |[0.8495402969449903,0.15045970305500966]|0.0       |
|52 |[0.5626465546197191,0.43735344538028087]|0.0       |
|53 |[0.36535650952988596,0.634643490470114] |1.0       |
|54 |[0.4788619933840076,0.5211380066159924] |1.0       |
|55 |[0.6243767063966228,0.3756232936033772] |0.0       |
|56 |[0.35624451888851094,0.6437554811114891]|1.0       |
|57 |[0.35533889250806394,0.6446611074919361]|1.0       |
|58 |[0.43283147352001433,0.5671685264799857]|1.0       |
|59 |[0.44841195603259554,0.5515880439674045]|1.0       |
|60 |[0.6002944141031465,0.39970558589685345]|0.0       |
|61 |[0.6409036526373253,0.3590963473626747] |0.0       |
|62 |[0.7920187982545365,0.20798120174546353]|0.0       |
|63 |[0.7690220188857778,0.2309779811142222] |0.0       |
|64 |[0.5442646597525185,0.4557353402474815] |0.0       |
|65 |[0.4431980652844596,0.5568019347155404] |1.0       |
|66 |[0.427658285770442,0.5723417142295579]  |1.0       |
|67 |[0.7397654638724398,0.2602345361275602] |0.0       |
|68 |[0.5911032294182436,0.40889677058175644]|0.0       |
|69 |[0.8952826125355847,0.10471738746441528]|0.0       |
|70 |[0.6720738505170379,0.32792614948296206]|0.0       |
|71 |[0.42475945192105696,0.5752405480789431]|1.0       |
|72 |[0.7683194356531254,0.23168056434687456]|0.0       |
|73 |[0.7157773062526329,0.2842226937473671] |0.0       |
|74 |[0.5124318768431972,0.48756812315680276]|0.0       |
|75 |[0.37920544855266686,0.6207945514473332]|1.0       |
|76 |[0.4180159229468679,0.5819840770531322] |1.0       |
|77 |[0.4657249364414777,0.5342750635585223] |1.0       |
|78 |[0.4851175043307837,0.5148824956692163] |1.0       |
|79 |[0.40557495183228043,0.5944250481677196]|1.0       |
|80 |[0.5255903498967192,0.47440965010328084]|0.0       |
|81 |[0.6379913928580956,0.3620086071419044] |0.0       |
|82 |[0.5550228615064805,0.4449771384935195] |0.0       |
|83 |[0.38293305817479556,0.6170669418252044]|1.0       |
|84 |[0.7816429167418696,0.2183570832581304] |0.0       |
|85 |[0.8468228442515623,0.1531771557484377] |0.0       |
|86 |[0.5589227225434801,0.4410772774565199] |0.0       |
|87 |[0.4788619933840076,0.5211380066159924] |1.0       |
|88 |[0.37087084422740585,0.6291291557725942]|1.0       |
|89 |[0.4709796745651276,0.5290203254348724] |1.0       |
|90 |[0.4539484340727533,0.5460515659272467] |1.0       |
|91 |[0.3571511746514288,0.6428488253485711] |1.0       |
|92 |[0.5520934850057123,0.4479065149942877] |0.0       |
|93 |[0.7889702171742876,0.2110297828257124] |0.0       |
|94 |[0.8384414939917602,0.16155850600823984]|0.0       |
|95 |[0.42702118095616776,0.5729788190438323]|1.0       |
|96 |[0.49070400617524523,0.5092959938247548]|1.0       |
|97 |[0.8636078244723285,0.13639217552767147]|0.0       |
|98 |[0.7718174244634791,0.22818257553652088]|0.0       |
|99 |[0.38013603417836567,0.6198639658216343]|1.0       |
+---+----------------------------------------+----------+
